"filename", "language", "Markdown", "PHP", "CSS", "JavaScript", "Properties", "JSON", "XML", "HTML", "comment", "blank", "total"
"c:\wamp64\www\financiera\Controllers\BanksAccountsController.php", "PHP", 0, 65, 0, 0, 0, 0, 0, 0, 0, 8, 73
"c:\wamp64\www\financiera\Controllers\BeneficiariesController.php", "PHP", 0, 55, 0, 0, 0, 0, 0, 0, 0, 8, 63
"c:\wamp64\www\financiera\Controllers\CapitalPaymentsController.php", "PHP", 0, 68, 0, 0, 0, 0, 0, 0, 1, 7, 76
"c:\wamp64\www\financiera\Controllers\CustomerController.php", "PHP", 0, 64, 0, 0, 0, 0, 0, 0, 9, 7, 80
"c:\wamp64\www\financiera\Controllers\InvestorsController.php", "PHP", 0, 216, 0, 0, 0, 0, 0, 0, 8, 36, 260
"c:\wamp64\www\financiera\Controllers\LoginController.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 4, 7, 17
"c:\wamp64\www\financiera\Controllers\StatisticalGraphsController.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\wamp64\www\financiera\Controllers\TaxComisionsController.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 10, 5, 54
"c:\wamp64\www\financiera\Controllers\TypeClientController.php", "PHP", 0, 43, 0, 0, 0, 0, 0, 0, 7, 5, 55
"c:\wamp64\www\financiera\Controllers\ViewPaysController.php", "PHP", 0, 66, 0, 0, 0, 0, 0, 0, 2, 13, 81
"c:\wamp64\www\financiera\Controllers\logoutSession.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 2, 3, 11
"c:\wamp64\www\financiera\Controllers\verifySession.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 5, 4, 23
"c:\wamp64\www\financiera\Models\Abstracts\OperationsCustomer.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 30, 7, 45
"c:\wamp64\www\financiera\Models\Abstracts\OperationsPaysClient.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 30, 6, 44
"c:\wamp64\www\financiera\Models\BanksAccounts.php", "PHP", 0, 142, 0, 0, 0, 0, 0, 0, 30, 17, 189
"c:\wamp64\www\financiera\Models\Beneficiaries.php", "PHP", 0, 114, 0, 0, 0, 0, 0, 0, 48, 14, 176
"c:\wamp64\www\financiera\Models\CapitalPaymentsInv.php", "PHP", 0, 114, 0, 0, 0, 0, 0, 0, 44, 22, 180
"c:\wamp64\www\financiera\Models\Conexion.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\wamp64\www\financiera\Models\Conf.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\wamp64\www\financiera\Models\CreditsClients.php", "PHP", 0, 78, 0, 0, 0, 0, 0, 0, 38, 25, 141
"c:\wamp64\www\financiera\Models\Customer.php", "PHP", 0, 67, 0, 0, 0, 0, 0, 0, 34, 16, 117
"c:\wamp64\www\financiera\Models\Investor.php", "PHP", 0, 403, 0, 0, 0, 0, 0, 0, 119, 62, 584
"c:\wamp64\www\financiera\Models\InvestorDetail.php", "PHP", 0, 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\wamp64\www\financiera\Models\Login.php", "PHP", 0, 43, 0, 0, 0, 0, 0, 0, 3, 11, 57
"c:\wamp64\www\financiera\Models\PaysInvestments.php", "PHP", 0, 91, 0, 0, 0, 0, 0, 0, 46, 13, 150
"c:\wamp64\www\financiera\Models\StatisticalGraphs.php", "PHP", 0, 62, 0, 0, 0, 0, 0, 0, 0, 4, 66
"c:\wamp64\www\financiera\Models\Taxes.php", "PHP", 0, 61, 0, 0, 0, 0, 0, 0, 15, 16, 92
"c:\wamp64\www\financiera\Models\TypeClient.php", "PHP", 0, 76, 0, 0, 0, 0, 0, 0, 14, 18, 108
"c:\wamp64\www\financiera\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\wamp64\www\financiera\Views\CustomerBlade.php", "PHP", 0, 642, 0, 0, 0, 0, 0, 0, 0, 21, 663
"c:\wamp64\www\financiera\Views\Elements\camposobligatorios.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\wamp64\www\financiera\Views\InvestorsAccountsBanks.php", "PHP", 0, 230, 0, 0, 0, 0, 0, 0, 0, 13, 243
"c:\wamp64\www\financiera\Views\InvestorsBeneficiaries.php", "PHP", 0, 206, 0, 0, 0, 0, 0, 0, 0, 15, 221
"c:\wamp64\www\financiera\Views\InvestorsBlade.php", "PHP", 0, 422, 0, 0, 0, 0, 0, 0, 0, 22, 444
"c:\wamp64\www\financiera\Views\InvestorsDetailsBlade.php", "PHP", 0, 436, 0, 0, 0, 0, 0, 0, 0, 29, 465
"c:\wamp64\www\financiera\Views\Reports\inventario.php", "PHP", 0, 70, 0, 0, 0, 0, 0, 0, 24, 15, 109
"c:\wamp64\www\financiera\Views\TaxComisionsBlade.php", "PHP", 0, 165, 0, 0, 0, 0, 0, 0, 0, 16, 181
